"pitch_type","game_date","release_speed","release_pos_x","release_pos_z","player_name","batter","pitcher","events","description","spin_dir","spin_rate_deprecated","break_angle_deprecated","break_length_deprecated","zone","des","game_type","stand","p_throws","home_team","away_team","type","hit_location","bb_type","balls","strikes","game_year","pfx_x","pfx_z","plate_x","plate_z","on_3b","on_2b","on_1b","outs_when_up","inning","inning_topbot","hc_x","hc_y","tfs_deprecated","tfs_zulu_deprecated","pos2_person_id","umpire","sv_id","vx0","vy0","vz0","ax","ay","az","sz_top","sz_bot","hit_distance_sc","launch_speed","launch_angle","effective_speed","release_spin_rate","release_extension","game_pk","pos1_person_id","pos2_person_id","pos3_person_id","pos4_person_id","pos5_person_id","pos6_person_id","pos7_person_id","pos8_person_id","pos9_person_id","release_pos_y","estimated_ba_using_speedangle","estimated_woba_using_speedangle","woba_value","woba_denom","babip_value","iso_value","launch_speed_angle","at_bat_number","pitch_number","pitch_name","home_score","away_score","bat_score","fld_score","post_away_score","post_home_score","post_bat_score","post_fld_score","if_fielding_alignment","of_fielding_alignment"
"FC","2018-09-13","85.7","-2.5917","5.1465","Mike Leake",457708,502190,"null","foul",,,,,"6","null","R","R","R","LAA","SEA","S","null","null",2,1,2018,"0.1898","0.5394","0.4349","2.7397","null","null","null",1,7,"Bot","null","null",,,572287,,"180914_043024","6.6222","-124.5155","-0.5233","0.7691","21.4254","-26.9009","3.5695","1.7525","205","80.7","64.4239","84.1980","2266","5.0730",531602,502190,572287,592387,429664,572122,543829,452655,571745,592325,"55.4272","null","null","null","null","null","null","null",58,"4","Cutter",0,6,0,6,6,0,0,6,"Standard","Strategic"
"FC","2018-09-13","85.4","-2.5188","5.1892","Mike Leake",457708,502190,"null","ball",,,,,"14","null","R","R","R","LAA","SEA","B","null","null",1,1,2018,"0.3113","0.3869","1.4642","1.2937","null","null","null",1,7,"Bot","null","null",,,572287,,"180914_042944","8.5631","-123.9799","-3.5668","1.5174","22.7723","-27.9352","3.5438","1.8300","null","null","null","83.6450","2343","5.0800",531602,502190,572287,592387,429664,572122,543829,452655,571745,592325,"55.4193","null","null","null","null","null","null","null",58,"3","Cutter",0,6,0,6,6,0,0,6,"Standard","Strategic"
"KC","2018-09-13","77.9","-2.5363","5.4253","Mike Leake",457708,502190,"null","ball",,,,,"11","null","R","R","R","LAA","SEA","B","null","null",0,1,2018,"1.3015","-0.6987","-1.7681","2.8378","null","null","null",1,7,"Bot","null","null",,,572287,,"180914_042929","-0.5845","-113.1498","2.4864","10.6921","20.9917","-38.6172","3.5695","1.7267","null","null","null","75.6510","2722","4.7880",531602,502190,572287,592387,429664,572122,543829,452655,571745,592325,"55.7119","null","null","null","null","null","null","null",58,"2","Knuckle Curve",0,6,0,6,6,0,0,6,"Standard","Strategic"
"FC","2018-09-13","85.5","-2.6271","5.1989","Mike Leake",457708,502190,"null","called_strike",,,,,"14","null","R","R","R","LAA","SEA","S","null","null",0,0,2018,"0.0936","0.7548","0.9002","2.3531","null","null","null",1,7,"Bot","null","null",,,572287,,"180914_042915","7.9255","-124.2432","-1.9055","-0.4138","21.1340","-24.5570","3.5951","1.8042","null","null","null","83.8950","2268","4.9760",531602,502190,572287,592387,429664,572122,543829,452655,571745,592325,"55.5241","null","null","null","null","null","null","null",58,"1","Cutter",0,6,0,6,6,0,0,6,"Standard","Strategic"
"SI","2018-09-13","87.0","-2.5786","5.1568","Mike Leake",660271,502190,"field_out","hit_into_play",,,,,"4","Shohei Ohtani grounds out, first baseman Ryon Healy to pitcher Mike Leake.  ","R","L","R","LAA","SEA","X",3,"ground_ball",1,1,2018,"-1.0418","0.3884","-0.3494","2.2345","null","null","null",0,7,"Bot","156.27","160.99",,,572287,,"180914_042837","7.2377","-126.3490","-1.5959","-12.1708","23.8206","-28.0946","3.1843","1.5457","16","96.1","-6.6730","85.5080","2072","5.2690",531602,502190,572287,592387,429664,572122,543829,452655,571745,592325,"55.2306","0.281","0.259","0.00",1,0,0,2,57,"3","Sinker",0,6,0,6,6,0,0,6,"Standard","Standard"
"FF","2018-09-13","88.3","-2.5190","5.2849","Mike Leake",660271,502190,"null","ball",,,,,"11","null","R","L","R","LAA","SEA","B","null","null",0,1,2018,"-0.8467","0.5797","-1.0106","3.0766","null","null","null",0,7,"Bot","null","null",,,572287,,"180914_042821","5.2481","-128.3181","-0.4748","-10.0602","24.6900","-26.1383","3.2100","1.5457","null","null","null","86.8000","2192","5.2530",531602,502190,572287,592387,429664,572122,543829,452655,571745,592325,"55.2466","null","null","null","null","null","null","null",57,"2","4-Seam Fastball",0,6,0,6,6,0,0,6,"Standard","Standard"
"KC","2018-09-13","77.6","-2.5980","5.4021","Mike Leake",660271,502190,"null","called_strike",,,,,"7","null","R","L","R","LAA","SEA","S","null","null",0,0,2018,"1.2373","-0.7409","-0.7798","1.9722","null","null","null",0,7,"Bot","null","null",,,572287,,"180914_042809","1.7128","-112.6583","0.8219","9.6378","20.1573","-38.5741","3.3385","1.5716","null","null","null","75.2120","2727","4.6320",531602,502190,572287,592387,429664,572122,543829,452655,571745,592325,"55.8675","null","null","null","null","null","null","null",57,"1","Knuckle Curve",0,6,0,6,6,0,0,6,"Standard","Standard"
"SL","2018-09-13","82.7","-2.6707","5.1944","Mike Leake",545361,502190,"strikeout","foul_tip",,,,,"14","Mike Trout strikes out on a foul tip.  ","R","R","R","LAA","SEA","S",2,"null",0,2,2018,"0.7994","0.4570","1.4056","2.0753","null","null","null",2,6,"Bot","null","null",,,572287,,"180914_042140","7.5721","-119.9406","-1.4100","5.9030","22.1740","-28.0268","3.5695","1.6233","null","null","null","80.1960","2908","4.6540",531602,502190,572287,592387,429664,572122,543829,452655,571745,592325,"55.8455","null","null","0.00",1,0,0,"null",53,"5","Slider",0,6,0,6,6,0,0,6,"Standard","Strategic"
"FF","2018-09-13","90.6","-2.3457","5.4190","Mike Leake",545361,502190,"null","foul",,,,,"11","null","R","R","R","LAA","SEA","S","null","null",0,2,2018,"-0.7456","0.5260","-1.2487","3.7744","null","null","null",2,6,"Bot","null","null",,,572287,,"180914_042109","4.2034","-131.8463","0.6582","-9.2823","25.0863","-26.5504","3.5951","1.7008","null","null","null","89.5720","2089","5.4170",531602,502190,572287,592387,429664,572122,543829,452655,571745,592325,"55.0825","null","null","null","null","null","null","null",53,"4","4-Seam Fastball",0,6,0,6,6,0,0,6,"Standard","Strategic"
"FC","2018-09-13","89.4","-2.7070","5.3796","Mike Leake",545361,502190,"null","foul",,,,,"2","null","R","R","R","LAA","SEA","S","null","null",0,2,2018,"0.1192","0.6971","0.0026","3.3738","null","null","null",2,6,"Bot","null","null",,,572287,,"180914_042051","6.2728","-129.9218","-0.3946","0.1652","23.4904","-24.7510","3.5438","1.7008","181","67.0","49.7090","87.6580","2440","4.9600",531602,502190,572287,592387,429664,572122,543829,452655,571745,592325,"55.5396","null","null","null","null","null","null","null",53,"3","Cutter",0,6,0,6,6,0,0,6,"Standard","Strategic"
