"pitch_type","game_date","release_speed","release_pos_x","release_pos_z","player_name","batter","pitcher","events","description","spin_dir","spin_rate_deprecated","break_angle_deprecated","break_length_deprecated","zone","des","game_type","stand","p_throws","home_team","away_team","type","hit_location","bb_type","balls","strikes","game_year","pfx_x","pfx_z","plate_x","plate_z","on_3b","on_2b","on_1b","outs_when_up","inning","inning_topbot","hc_x","hc_y","tfs_deprecated","tfs_zulu_deprecated","pos2_person_id","umpire","sv_id","vx0","vy0","vz0","ax","ay","az","sz_top","sz_bot","hit_distance_sc","launch_speed","launch_angle","effective_speed","release_spin_rate","release_extension","game_pk","pos1_person_id","pos2_person_id","pos3_person_id","pos4_person_id","pos5_person_id","pos6_person_id","pos7_person_id","pos8_person_id","pos9_person_id","release_pos_y","estimated_ba_using_speedangle","estimated_woba_using_speedangle","woba_value","woba_denom","babip_value","iso_value","launch_speed_angle","at_bat_number","pitch_number","pitch_name","home_score","away_score","bat_score","fld_score","post_away_score","post_home_score","post_bat_score","post_fld_score","if_fielding_alignment","of_fielding_alignment"
"FF","2018-09-14","88.6","0.9942","6.2023","Dallas Keuchel",605113,572971,"walk","ball",,,,,"13","Nick Ahmed walks.  ","R","R","L","HOU","ARI","B","null","null",3,2,2018,"0.1126","0.6883","-1.6667","1.7228","null","null","null",1,6,"Top","null","null",,,455117,,"180915_015322","-6.6910","-128.7485","-6.2657","2.5831","25.8020","-23.5464","3.3988","1.6069","null","null","null","88.2250","2140","6.0560",531604,572971,455117,493329,514888,608324,621043,503556,543807,502210,"54.4461","null","null","0.70",1,0,0,"null",44,"6","4-Seam Fastball",2,2,2,2,2,2,2,2,"Standard","Standard"
"FT","2018-09-14","88.8","1.1518","6.1348","Dallas Keuchel",605113,572971,"null","foul",,,,,"8","null","R","R","L","HOU","ARI","S","null","null",3,1,2018,"0.7728","0.7151","0.1421","1.7400","null","null","null",1,6,"Top","null","null",,,455117,,"180915_015255","-4.0679","-129.1741","-6.1888","9.4430","26.3288","-23.1601","3.4670","1.5890","3","72.9","-27.7224","88.6790","2041","6.1870",531604,572971,455117,493329,514888,608324,621043,503556,543807,502210,"54.3151","null","null","null","null","null","null","null",44,"5","2-Seam Fastball",2,2,2,2,2,2,2,2,"Standard","Strategic"
"CH","2018-09-14","80.8","1.0169","6.0783","Dallas Keuchel",605113,572971,"null","ball",,,,,"13","null","R","R","L","HOU","ARI","B","null","null",2,1,2018,"0.9668","0.4365","-0.1944","0.9381","null","null","null",1,6,"Top","null","null",,,455117,,"180915_015230","-4.5431","-117.4648","-5.6019","9.8205","22.9262","-27.2668","3.3988","1.6069","null","null","null","80.7440","1435","6.3750",531604,572971,455117,493329,514888,608324,621043,503556,543807,502210,"54.1270","null","null","null","null","null","null","null",44,"4","Changeup",2,2,2,2,2,2,2,2,"Standard","Standard"
"FF","2018-09-14","87.8","1.0037","6.2052","Dallas Keuchel",605113,572971,"null","ball",,,,,"13","null","R","R","L","HOU","ARI","B","null","null",1,1,2018,"0.0120","0.5130","-1.2442","1.7438","null","null","null",1,6,"Top","null","null",,,455117,,"180915_015212","-5.4324","-127.5803","-5.6450","1.3131","27.8054","-25.6680","3.3988","1.6069","null","null","null","87.0890","2113","6.0550",531604,572971,455117,493329,514888,608324,621043,503556,543807,502210,"54.4474","null","null","null","null","null","null","null",44,"3","4-Seam Fastball",2,2,2,2,2,2,2,2,"Standard","Standard"
"FT","2018-09-14","89.8","1.4316","6.0087","Dallas Keuchel",605113,572971,"null","ball",,,,,"14","null","R","R","L","HOU","ARI","B","null","null",0,1,2018,"0.7659","0.2633","1.2842","1.7379","null","null","null",1,6,"Top","null","null",,,455117,,"180915_015149","-1.9491","-130.6280","-5.1123","9.0654","27.1569","-28.3648","3.3988","1.6069","null","null","null","89.2990","1906","5.9720",531604,572971,455117,493329,514888,608324,621043,503556,543807,502210,"54.5301","null","null","null","null","null","null","null",44,"2","2-Seam Fastball",2,2,2,2,2,2,2,2,"Standard","Standard"
"FT","2018-09-14","87.6","1.0566","6.2449","Dallas Keuchel",605113,572971,"null","foul",,,,,"4","null","R","R","L","HOU","ARI","S","null","null",0,0,2018,"0.1083","0.5225","-0.6894","2.2521","null","null","null",1,6,"Top","null","null",,,455117,,"180915_015116","-4.4346","-127.4862","-4.5713","2.1006","26.6283","-25.7755","3.4670","1.5890","null","null","null","87.4750","2076","6.2430",531604,572971,455117,493329,514888,608324,621043,503556,543807,502210,"54.2595","null","null","null","null","null","null","null",44,"1","2-Seam Fastball",2,2,2,2,2,2,2,2,"Standard","Standard"
"FT","2018-09-14","88.3","1.1716","6.0575","Dallas Keuchel",519306,572971,"field_out","hit_into_play",,,,,"14","Steven Souza Jr.   lines out sharply to right fielder Josh Reddick.  ","R","R","L","HOU","ARI","X",9,"line_drive",2,1,2018,"1.0329","0.6954","0.5594","1.4244","null","null","null",0,6,"Top","186.86","64.24",,,455117,,"180915_015025","-3.6559","-128.4519","-6.6736","12.2311","25.8554","-23.2948","3.5490","1.6270","348","102.3","19.0870","88.6340","2027","6.4530",531604,572971,455117,493329,514888,608324,621043,503556,543807,502210,"54.0493","0.568","0.721","0.00",1,0,0,5,43,"4","2-Seam Fastball",2,2,2,2,2,2,2,2,"Infield shift","Standard"
"FF","2018-09-14","87.2","0.8905","6.2324","Dallas Keuchel",519306,572971,"null","ball",,,,,"13","null","R","R","L","HOU","ARI","B","null","null",1,1,2018,"-0.1083","0.6645","-1.5557","1.0992","null","null","null",0,6,"Top","null","null",,,455117,,"180915_015005","-5.6373","-126.8138","-7.5296","-0.0788","24.4039","-23.7974","3.3988","1.6069","null","null","null","87.0850","2057","6.1200",531604,572971,455117,493329,514888,608324,621043,503556,543807,502210,"54.3825","null","null","null","null","null","null","null",43,"3","4-Seam Fastball",2,2,2,2,2,2,2,2,"Infield shift","Standard"
"FF","2018-09-14","88.4","0.9036","6.3929","Dallas Keuchel",519306,572971,"null","ball",,,,,"11","null","R","R","L","HOU","ARI","B","null","null",0,1,2018,"-0.1052","1.0117","-0.6850","3.8124","null","null","null",0,6,"Top","null","null",,,455117,,"180915_014949","-3.6590","-128.7632","-2.3176","-0.3859","27.5115","-20.6753","3.3988","1.6069","null","null","null","88.4720","2116","6.3480",531604,572971,455117,493329,514888,608324,621043,503556,543807,502210,"54.1542","null","null","null","null","null","null","null",43,"2","4-Seam Fastball",2,2,2,2,2,2,2,2,"Infield shift","Standard"
"FT","2018-09-14","87.9","1.0710","6.1703","Dallas Keuchel",519306,572971,"null","called_strike",,,,,"12","null","R","R","L","HOU","ARI","S","null","null",0,0,2018,"1.1147","0.8376","0.9013","2.5387","null","null","null",0,6,"Top","null","null",,,455117,,"180915_014933","-2.7245","-128.0192","-4.4506","12.8224","25.9769","-22.2623","3.3988","1.6069","null","null","null","88.1380","1943","6.3550",531604,572971,455117,493329,514888,608324,621043,503556,543807,502210,"54.1476","null","null","null","null","null","null","null",43,"1","2-Seam Fastball",2,2,2,2,2,2,2,2,"Infield shift","Standard"
"CH","2018-09-14","79.0","0.7827","6.2096","Dallas Keuchel",572233,572971,"field_out","hit_into_play",,,,,"14","Christian Walker lines out to shortstop Carlos Correa.  ","R","R","L","HOU","ARI","X",6,"line_drive",0,0,2018,"1.0730","0.6664","1.1376","2.1339","null","null","444482.00",2,5,"Top","108.52","144.20",,,455117,,"180915_013756","-1.2694","-115.0683","-3.3177","9.8537","23.2657","-25.7541","3.3710","1.5350","152","77.3","14.1500","79.4480","1388","6.7540",531604,572971,455117,493329,514888,608324,621043,503556,543807,502210,"53.7483","0.688","0.641","0.00",1,0,0,4,39,"1","Changeup",2,2,2,2,2,2,2,2,"Standard","Strategic"
"FT","2018-09-14","89.3","1.1875","6.1080","Dallas Keuchel",444482,572971,"single","hit_into_play_no_out",,,,,"4","David Peralta singles on a ground ball to right fielder Josh Reddick.  ","R","L","L","HOU","ARI","X","null","ground_ball",0,0,2018,"0.9436","0.6681","-0.3535","2.3442","null","null","null",2,5,"Top","146.90","102.95",,,455117,,"180915_013706","-5.7532","-129.9269","-4.6524","11.8174","26.3882","-23.9057","3.4110","1.5650","11","102.1","-11.7320","89.2340","1959","6.1900",531604,572971,455117,493329,514888,608324,621043,503556,543807,502210,"54.3120","0.254","0.209","0.90",1,1,0,2,38,"1","2-Seam Fastball",2,2,2,2,2,2,2,2,"Standard","Standard"
"FT","2018-09-14","88.4","1.2665","6.1802","Dallas Keuchel",502671,572971,"field_out","hit_into_play",,,,,"9","Paul Goldschmidt grounds out, pitcher Dallas Keuchel to first baseman Yuli Gurriel.  ","R","R","L","HOU","ARI","X",1,"ground_ball",3,1,2018,"1.0057","0.4514","0.7402","2.1693","null","null","null",1,5,"Top","128.61","181.68",,,455117,,"180915_013620","-3.3454","-128.6423","-4.6456","11.7725","25.2644","-26.4873","3.4900","1.6010","9","102.4","-13.2410","88.3140","2088","6.1160",531604,572971,455117,493329,514888,608324,621043,503556,543807,502210,"54.3861","0.227","0.217","0.00",1,0,0,2,37,"5","2-Seam Fastball",2,2,2,2,2,2,2,2,"Infield shift","Standard"
"FT","2018-09-14","88.6","1.0790","6.1572","Dallas Keuchel",502671,572971,"null","called_strike",,,,,"14","null","R","R","L","HOU","ARI","S","null","null",3,0,2018,"0.8870","0.4028","0.1370","1.4419","null","null","null",1,5,"Top","null","null",,,455117,,"180915_013558","-4.1149","-128.8935","-6.2917","10.6422","25.2018","-26.6912","3.3988","1.6069","null","null","null","88.4640","2132","6.0890",531604,572971,455117,493329,514888,608324,621043,503556,543807,502210,"54.4134","null","null","null","null","null","null","null",37,"4","2-Seam Fastball",2,2,2,2,2,2,2,2,"Infield shift","Standard"
"FT","2018-09-14","89.2","1.1096","6.0885","Dallas Keuchel",502671,572971,"null","ball",,,,,"14","null","R","R","L","HOU","ARI","B","null","null",2,0,2018,"0.9318","0.5346","0.3661","0.9613","null","null","null",1,5,"Top","null","null",,,455117,,"180915_013542","-3.7402","-129.6336","-7.6581","11.1745","26.0502","-24.8769","3.3988","1.6069","null","null","null","88.8330","2129","6.0480",531604,572971,455117,493329,514888,608324,621043,503556,543807,502210,"54.4540","null","null","null","null","null","null","null",37,"3","2-Seam Fastball",2,2,2,2,2,2,2,2,"Infield shift","Standard"
"FT","2018-09-14","88.2","1.0335","6.1481","Dallas Keuchel",502671,572971,"null","ball",,,,,"14","null","R","R","L","HOU","ARI","B","null","null",1,0,2018,"0.9738","0.5742","0.3762","0.9796","null","null","null",1,5,"Top","null","null",,,455117,,"180915_013526","-3.6024","-128.2403","-7.6654","11.4422","25.1739","-24.5499","3.3988","1.6069","null","null","null","88.2020","2006","6.2250",531604,572971,455117,493329,514888,608324,621043,503556,543807,502210,"54.2776","null","null","null","null","null","null","null",37,"2","2-Seam Fastball",2,2,2,2,2,2,2,2,"Infield shift","Standard"
"FT","2018-09-14","87.9","1.2418","6.1644","Dallas Keuchel",502671,572971,"null","ball",,,,,"12","null","R","R","L","HOU","ARI","B","null","null",0,0,2018,"0.9823","0.3569","1.4836","2.6534","null","null","null",1,5,"Top","null","null",,,455117,,"180915_013511","-1.4244","-128.0682","-3.1723","11.0392","24.8480","-27.8618","3.3988","1.6069","null","null","null","87.9310","1982","6.1070",531604,572971,455117,493329,514888,608324,621043,503556,543807,502210,"54.3954","null","null","null","null","null","null","null",37,"1","2-Seam Fastball",2,2,2,2,2,2,2,2,"Infield shift","Standard"
